"symbol","tf","time","open","high","low","close","volume"
"XAGUSD","30m","2025-12-18T07:00:00Z","66.2963","66.612","66.2527","66.4837","5021"
"XAGUSD","30m","2025-12-18T07:30:00Z","66.4775","66.5913","66.2093","66.2737","5470"
"XAGUSD","30m","2025-12-18T08:00:00Z","66.2807","66.4567","66.2003","66.3247","4563"
"XAGUSD","30m","2025-12-18T08:30:00Z","66.3247","66.5077","66.2987","66.406","3102"
"XAGUSD","30m","2025-12-18T09:00:00Z","66.406","66.5097","66.3547","66.472","3044"
"XAGUSD","30m","2025-12-18T09:30:00Z","66.4693","66.607","66.4363","66.4967","3289"
"XAGUSD","30m","2025-12-18T10:00:00Z","66.489","66.5297","66.0466","66.1427","5235"
"XAGUSD","30m","2025-12-18T10:30:00Z","66.1427","66.2747","65.85","66.0057","3417"
"XAGUSD","30m","2025-12-18T11:00:00Z","65.993","66.16","65.8841","66.0507","3322"
"XAGUSD","30m","2025-12-18T11:30:00Z","66.0507","66.186","65.846","65.978","3093"
"XAGUSD","30m","2025-12-18T12:00:00Z","65.98","66.064","65.869","65.964","2017"
"XAGUSD","30m","2025-12-18T12:30:00Z","65.964","66.1427","65.942","66.06","1987"
"XAGUSD","30m","2025-12-18T13:00:00Z","66.065","66.2547","66.061","66.116","2179"
"XAGUSD","30m","2025-12-18T13:30:00Z","66.115","66.2822","66.11","66.276","1551"
"XAGUSD","30m","2025-12-18T14:00:00Z","66.276","66.309","65.979","66.0507","3135"
"XAGUSD","30m","2025-12-18T14:30:00Z","66.0447","66.1807","65.999","66.036","2588"
"XAGUSD","30m","2025-12-18T15:00:00Z","66.0307","66.1557","65.6741","65.7915","7692"
"XAGUSD","30m","2025-12-18T15:30:00Z","65.7855","66.417","65.7825","66.3005","11413"
"XAGUSD","30m","2025-12-18T16:00:00Z","66.3","66.444","65.922","65.9647","10266"
"XAGUSD","30m","2025-12-18T16:30:00Z","65.9647","66.1747","64.61","65.484","20529"
"XAGUSD","30m","2025-12-18T17:00:00Z","65.478","65.7397","65.205","65.514","14831"
"XAGUSD","30m","2025-12-18T17:30:00Z","65.499","65.7777","65.272","65.464","14133"
